fullname,title,first,middle,last,suffix,nickname
Mr. Samuel 'Sam' Vimes,mr,samuel,,vimes,,sam
"Samuel ""Young Sam"" Vimes II.",,samuel,,vimes,ii,young sam
Sybil Deirdre Olgivanna Ramkin-Vimes,,sybil,deirdre olgivanna,ramkin-vimes,,
Claude Maximillian Overton Transpire (CMOT) Dibbler,,claude,maximillian overton transpire,dibbler,,cmot
Jane Mary Betty Ann Pamela von Jones,,jane,mary betty ann pamela,von jones,,
"John ""Not-A-Vampire-At-All"" Smith",,john,,smith,,not-a-vampire-at-all
"Dr Lawn, John (Mossy)",dr,john,,lawn,,mossy
"Vetinari, Havelock",,havelock,,vetinari,,
William de Worde,,william,,de worde,,
"von Lipwig, Moist",,moist,,von lipwig,,
